Country Name,Country Code,Indicator Name,Indicator Code,Year,GDP_growth
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Africa Eastern and Southern,AFE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Africa Western and Central,AFW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1960,
